ID,Title,Link,titleSlug,Approach,Difficulty,Topics
101,Symmetric Tree,Symmetric Tree,symmetric-tree,,Easy,"Tree, Depth-first Search, Breadth-first Search, "
102,Binary Tree Level Order Traversal,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,,Easy,"Tree, Breadth-first Search, "
103,Binary Tree Zigzag Level Order Traversal,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,,Easy,"Stack, Tree, Breadth-first Search, "
104,Maximum Depth of Binary Tree,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,,Easy,"Tree, Depth-first Search, "
105,Construct Binary Tree from Preorder and Inorder Traversal,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,,Easy,"Array, Tree, Depth-first Search, "
106,Construct Binary Tree from Inorder and Postorder Traversal,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,,Easy,"Array, Tree, Depth-first Search, "
107,Binary Tree Level Order Traversal II,Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,,Hard,"Tree, Breadth-first Search, "
108,Convert Sorted Array to Binary Search Tree,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,,Easy,"Tree, Depth-first Search, "
109,Convert Sorted List to Binary Search Tree,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,,Easy,"Linked List, Depth-first Search, "
110,Balanced Binary Tree,Balanced Binary Tree,balanced-binary-tree,,Easy,"Tree, Depth-first Search, "
111,Minimum Depth of Binary Tree,Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,,Medium,"Tree, Depth-first Search, Breadth-first Search, "
112,Path Sum,Path Sum,path-sum,,Medium,"Tree, Depth-first Search, "
113,Path Sum II,Path Sum II,path-sum-ii,,Easy,"Tree, Depth-first Search, "
114,Flatten Binary Tree to Linked List,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,,Hard,"Breadth-first Search, "
115,Distinct Subsequences,Distinct Subsequences,distinct-subsequences,,Easy,"String, Dynamic Programming, "
116,Populating Next Right Pointers in Each Node,Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,,Easy,"Tree, Depth-first Search, "
117,Populating Next Right Pointers in Each Node II,Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,,Hard,"Tree, Depth-first Search, "
118,Pascal's Triangle,Pascal's Triangle,pascals-triangle,,Easy,"Array, "
119,Pascal's Triangle II,Pascal's Triangle II,pascals-triangle-ii,,Medium,"Array, "
120,Triangle,Triangle,triangle,,Hard,"Array, Dynamic Programming, "
121,Best Time to Buy and Sell Stock,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,,Easy,"Array, Dynamic Programming, "
122,Best Time to Buy and Sell Stock II,Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,,Medium,"Array, Greedy, "
123,Best Time to Buy and Sell Stock III,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,,Easy,"Array, Dynamic Programming, "
124,Binary Tree Maximum Path Sum,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,,Easy,"Tree, Depth-first Search, "
125,Valid Palindrome,Valid Palindrome,valid-palindrome,,Medium,"Two Pointers, String, "
126,Word Ladder II,Word Ladder II,word-ladder-ii,,Hard,"Array, String, Backtracking, Breadth-first Search, "
127,Word Ladder,Word Ladder,word-ladder,,Medium,"Breadth-first Search, "
128,Longest Consecutive Sequence,Longest Consecutive Sequence,longest-consecutive-sequence,,Easy,"Array, Union Find, "
129,Sum Root to Leaf Numbers,Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,,Easy,"Tree, Depth-first Search, "
130,Surrounded Regions,Surrounded Regions,surrounded-regions,,Medium,"Depth-first Search, Breadth-first Search, Union Find, "
131,Palindrome Partitioning,Palindrome Partitioning,palindrome-partitioning,,Easy,"Backtracking, "
132,Palindrome Partitioning II,Palindrome Partitioning II,palindrome-partitioning-ii,,Easy,"Dynamic Programming, "
133,Clone Graph,Clone Graph,clone-graph,,Medium,"Depth-first Search, Breadth-first Search, Graph, "
134,Gas Station,Gas Station,gas-station,,Medium,"Greedy, "
135,Candy,Candy,candy,,Hard,"Greedy, "
136,Single Number,Single Number,single-number,,Easy,"Hash Table, Bit Manipulation, "
137,Single Number II,Single Number II,single-number-ii,,Medium,"Bit Manipulation, "
138,Copy List with Random Pointer,Copy List with Random Pointer,copy-list-with-random-pointer,,Medium,"Hash Table, Linked List, "
139,Word Break,Word Break,word-break,,Easy,"Dynamic Programming, "
140,Word Break II,Word Break II,word-break-ii,,Medium,"Dynamic Programming, Backtracking, "
141,Linked List Cycle,Linked List Cycle,linked-list-cycle,,Hard,"Linked List, Two Pointers, "
142,Linked List Cycle II,Linked List Cycle II,linked-list-cycle-ii,,Easy,"Linked List, Two Pointers, "
143,Reorder List,Reorder List,reorder-list,,Easy,"Linked List, "
144,Binary Tree Preorder Traversal,Binary Tree Preorder Traversal,binary-tree-preorder-traversal,,Easy,"Stack, Tree, "
145,Binary Tree Postorder Traversal,Binary Tree Postorder Traversal,binary-tree-postorder-traversal,,Easy,"Stack, Tree, "
146,LRU Cache,LRU Cache,lru-cache,,Easy,"Design, "
147,Insertion Sort List,Insertion Sort List,insertion-sort-list,,Medium,"Linked List, Sort, "
148,Sort List,Sort List,sort-list,,Easy,"Linked List, Sort, "
149,Max Points on a Line,Max Points on a Line,max-points-on-a-line,,Medium,"Hash Table, Math, "
150,Evaluate Reverse Polish Notation,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,,Medium,"Stack, "
151,Reverse Words in a String,Reverse Words in a String,reverse-words-in-a-string,,Medium,"String, "
152,Maximum Product Subarray,Maximum Product Subarray,maximum-product-subarray,,Easy,"Array, Dynamic Programming, "
153,Find Minimum in Rotated Sorted Array,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,,Hard,"Array, Binary Search, "
154,Find Minimum in Rotated Sorted Array II,Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,,Medium,"Array, Binary Search, "
155,Min Stack,Min Stack,min-stack,,Hard,"Binary Search, Tree, "
156,Binary Tree Upside Down,Binary Tree Upside Down,binary-tree-upside-down,,Medium,"Tree, "
157,Read N Characters Given Read4,Read N Characters Given Read4,read-n-characters-given-read4,,Medium,"String, "
158,Read N Characters Given Read4 II - Call multiple times,Read N Characters Given Read4 II - Call multiple times,read-n-characters-given-read4-ii-call-multiple-times,,Medium,"String, "
159,Longest Substring with At Most Two Distinct Characters,Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,,Easy,"Hash Table, Two Pointers, String, Sliding Window, "
160,Intersection of Two Linked Lists,Intersection of Two Linked Lists,intersection-of-two-linked-lists,,Hard,"Linked List, "
161,One Edit Distance,One Edit Distance,one-edit-distance,,Medium,"String, "
162,Find Peak Element,Find Peak Element,find-peak-element,,Medium,"Array, Binary Search, "
163,Missing Ranges,Missing Ranges,missing-ranges,,Medium,"Array, "
164,Maximum Gap,Maximum Gap,maximum-gap,,Medium,"Sort, "
165,Compare Version Numbers,Compare Version Numbers,compare-version-numbers,,Medium,"String, "
166,Fraction to Recurring Decimal,Fraction to Recurring Decimal,fraction-to-recurring-decimal,,Medium,"Hash Table, Math, "
167,Two Sum II - Input array is sorted,Two Sum II - Input array is sorted,two-sum-ii-input-array-is-sorted,,Medium,"Array, Two Pointers, Binary Search, "
168,Excel Sheet Column Title,Excel Sheet Column Title,excel-sheet-column-title,,Medium,"Math, "
169,Majority Element,Majority Element,majority-element,,Easy,"Array, Divide and Conquer, Bit Manipulation, "
170,Two Sum III - Data structure design,Two Sum III - Data structure design,two-sum-iii-data-structure-design,,Medium,"Hash Table, Design, "
171,Excel Sheet Column Number,Excel Sheet Column Number,excel-sheet-column-number,,Hard,"Math, "
172,Factorial Trailing Zeroes,Factorial Trailing Zeroes,factorial-trailing-zeroes,,Medium,"Math, "
173,Binary Search Tree Iterator,Binary Search Tree Iterator,binary-search-tree-iterator,,Hard,"Stack, Tree, Design, "
174,Dungeon Game,Dungeon Game,dungeon-game,,Easy,"Binary Search, Dynamic Programming, "
175,Combine Two Tables,Combine Two Tables,combine-two-tables,,Hard,
176,Second Highest Salary,Second Highest Salary,second-highest-salary,,Medium,
177,Nth Highest Salary,Nth Highest Salary,nth-highest-salary,,Medium,
178,Rank Scores,Rank Scores,rank-scores,,Medium,
179,Largest Number,Largest Number,largest-number,,Hard,"Sort, "
180,Consecutive Numbers,Consecutive Numbers,consecutive-numbers,,Medium,
181,Employees Earning More Than Their Managers,Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,,Hard,
182,Duplicate Emails,Duplicate Emails,duplicate-emails,,Easy,
183,Customers Who Never Order,Customers Who Never Order,customers-who-never-order,,Hard,
184,Department Highest Salary,Department Highest Salary,department-highest-salary,,Medium,
185,Department Top Three Salaries,Department Top Three Salaries,department-top-three-salaries,,Medium,
186,Reverse Words in a String II,Reverse Words in a String II,reverse-words-in-a-string-ii,,Medium,"String, "
187,Repeated DNA Sequences,Repeated DNA Sequences,repeated-dna-sequences,,Medium,"Hash Table, Bit Manipulation, "
188,Best Time to Buy and Sell Stock IV,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,,Easy,"Dynamic Programming, "
189,Rotate Array,Rotate Array,rotate-array,,Medium,"Array, "
190,Reverse Bits,Reverse Bits,reverse-bits,,Medium,"Bit Manipulation, "
191,Number of 1 Bits,Number of 1 Bits,number-of-1-bits,,Medium,"Bit Manipulation, "
192,Word Frequency,Word Frequency,word-frequency,,Medium,
193,Valid Phone Numbers,Valid Phone Numbers,valid-phone-numbers,,Medium,
194,Transpose File,Transpose File,transpose-file,,Medium,
195,Tenth Line,Tenth Line,tenth-line,,Medium,
196,Delete Duplicate Emails,Delete Duplicate Emails,delete-duplicate-emails,,Medium,
197,Rising Temperature,Rising Temperature,rising-temperature,,Medium,
198,House Robber,House Robber,house-robber,,Easy,"Dynamic Programming, "
199,Binary Tree Right Side View,Binary Tree Right Side View,binary-tree-right-side-view,,Easy,"Tree, Depth-first Search, Breadth-first Search, "
200,Number of Islands,Number of Islands,number-of-islands,,Easy,"Depth-first Search, Breadth-first Search, Union Find, "
201,Bitwise AND of Numbers Range,Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,,Hard,"Bit Manipulation, "
202,Happy Number,Happy Number,happy-number,,Medium,"Hash Table, Math, "
203,Remove Linked List Elements,Remove Linked List Elements,remove-linked-list-elements,"Add dummy node , Traverse LL & remove where data==val",Easy,"Linked List, "
204,Count Primes,Count Primes,count-primes,,Medium,"Hash Table, Math, "
205,Isomorphic Strings,Isomorphic Strings,isomorphic-strings,,Medium,"Hash Table, "
206,Reverse Linked List,Reverse Linked List,reverse-linked-list,"Maintain prev,curr,next pointer . reverse the current pointer, change head",Easy,"Linked List, "
207,Course Schedule,Course Schedule,course-schedule,,Easy,"Depth-first Search, Breadth-first Search, Graph, Topological Sort, "
208,Implement Trie (Prefix Tree),Implement Trie (Prefix Tree),implement-trie-prefix-tree,,Easy,"Design, Trie, "
209,Minimum Size Subarray Sum,Minimum Size Subarray Sum,minimum-size-subarray-sum,,Easy,"Array, Two Pointers, Binary Search, "
210,Course Schedule II,Course Schedule II,course-schedule-ii,,Easy,"Depth-first Search, Breadth-first Search, Graph, Topological Sort, "
211,Add and Search Word - Data structure design,Add and Search Word - Data structure design,add-and-search-word-data-structure-design,,Easy,"Backtracking, Design, Trie, "
212,Word Search II,Word Search II,word-search-ii,,Easy,"Backtracking, Trie, "
213,House Robber II,House Robber II,house-robber-ii,,Easy,"Dynamic Programming, "
214,Shortest Palindrome,Shortest Palindrome,shortest-palindrome,,Hard,"String, "
215,Kth Largest Element in an Array,Kth Largest Element in an Array,kth-largest-element-in-an-array,,Easy,"Dynamic Programming, Sliding Window, "
216,Combination Sum III,Combination Sum III,combination-sum-iii,,Easy,"Array, Backtracking, "
217,Contains Duplicate,Contains Duplicate,contains-duplicate,,Medium,"Array, Hash Table, "
218,The Skyline Problem,The Skyline Problem,the-skyline-problem,,Easy,"Divide and Conquer, Heap, Binary Indexed Tree, Segment Tree, Line Sweep, "
219,Contains Duplicate II,Contains Duplicate II,contains-duplicate-ii,,Medium,"Array, Hash Table, "
220,Contains Duplicate III,Contains Duplicate III,contains-duplicate-iii,,Medium,"Sort, Ordered Map, "
221,Maximal Square,Maximal Square,maximal-square,,Easy,"Dynamic Programming, "
222,Count Complete Tree Nodes,Count Complete Tree Nodes,count-complete-tree-nodes,,Hard,"Stack, Design, "
223,Rectangle Area,Rectangle Area,rectangle-area,,Medium,"Math, "
224,Basic Calculator,Basic Calculator,basic-calculator,,Hard,"Math, Stack, "
225,Implement Stack using Queues,Implement Stack using Queues,implement-stack-using-queues,,Medium,"Stack, Design, "
226,Invert Binary Tree,Invert Binary Tree,invert-binary-tree,,Easy,"Tree, "
227,Basic Calculator II,Basic Calculator II,basic-calculator-ii,,Hard,"String, "
228,Summary Ranges,Summary Ranges,summary-ranges,,Medium,"Array, "
229,Majority Element II,Majority Element II,majority-element-ii,,Hard,"Array, "
230,Kth Smallest Element in a BST,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,,Easy,"Binary Search, Tree, "
231,Power of Two,Power of Two,power-of-two,,Medium,"Math, Bit Manipulation, "
232,Implement Queue using Stacks,Implement Queue using Stacks,implement-queue-using-stacks,,Hard,"Stack, Design, "
233,Number of Digit One,Number of Digit One,number-of-digit-one,,Medium,"Math, "
234,Palindrome Linked List,Palindrome Linked List,palindrome-linked-list,,Hard,"Linked List, Two Pointers, "
235,Lowest Common Ancestor of a Binary Search Tree,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,,Easy,"Tree, "
236,Lowest Common Ancestor of a Binary Tree,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,,Easy,"Tree, "
237,Delete Node in a Linked List,Delete Node in a Linked List,delete-node-in-a-linked-list,,Medium,"Linked List, "
238,Product of Array Except Self,Product of Array Except Self,product-of-array-except-self,,Easy,"Array, "
239,Sliding Window Maximum,Sliding Window Maximum,sliding-window-maximum,,Easy,"Heap, Sliding Window, "
240,Search a 2D Matrix II,Search a 2D Matrix II,search-a-2d-matrix-ii,,Easy,"Binary Search, Divide and Conquer, "
241,Different Ways to Add Parentheses,Different Ways to Add Parentheses,different-ways-to-add-parentheses,,Easy,"Divide and Conquer, "
242,Valid Anagram,Valid Anagram,valid-anagram,,Hard,"Hash Table, Sort, "
243,Shortest Word Distance,Shortest Word Distance,shortest-word-distance,,Hard,"Array, "
244,Shortest Word Distance II,Shortest Word Distance II,shortest-word-distance-ii,,Medium,"Hash Table, Design, "
245,Shortest Word Distance III,Shortest Word Distance III,shortest-word-distance-iii,,Medium,"Array, "
246,Strobogrammatic Number,Strobogrammatic Number,strobogrammatic-number,,Medium,"Hash Table, Math, "
247,Strobogrammatic Number II,Strobogrammatic Number II,strobogrammatic-number-ii,,Medium,"Math, Recursion, "
248,Strobogrammatic Number III,Strobogrammatic Number III,strobogrammatic-number-iii,,Medium,"Math, Recursion, "
249,Group Shifted Strings,Group Shifted Strings,group-shifted-strings,,Medium,"Hash Table, String, "
250,Count Univalue Subtrees,Count Univalue Subtrees,count-univalue-subtrees,,Medium,"Tree, "
251,Flatten 2D Vector,Flatten 2D Vector,flatten-2d-vector,,Medium,"Design, "
252,Meeting Rooms,Meeting Rooms,meeting-rooms,,Easy,"Sort, "
253,Meeting Rooms II,Meeting Rooms II,meeting-rooms-ii,,Easy,"Heap, Greedy, Sort, "
254,Factor Combinations,Factor Combinations,factor-combinations,,Easy,"Backtracking, "
