ID,Title,Link,titleSlug,Approach,Difficulty,Topics
416,Partition Equal Subset Sum,Partition Equal Subset Sum,partition-equal-subset-sum,,Easy,"Dynamic Programming, "
424,Longest Repeating Character Replacement,Longest Repeating Character Replacement,longest-repeating-character-replacement,,Easy,"Two Pointers, Sliding Window, "
425,Word Squares,Word Squares,word-squares,,Easy,"Backtracking, Trie, "
428,Serialize and Deserialize N-ary Tree,Serialize and Deserialize N-ary Tree,serialize-and-deserialize-n-ary-tree,,Easy,"Tree, "
435,Non-overlapping Intervals,Non-overlapping Intervals,non-overlapping-intervals,,Easy,"Greedy, "
437,Path Sum III,Path Sum III,path-sum-iii,,Easy,"Tree, "
438,Find All Anagrams in a String,Find All Anagrams in a String,find-all-anagrams-in-a-string,,Easy,"Hash Table, "
442,Find All Duplicates in an Array,Find All Duplicates in an Array,find-all-duplicates-in-an-array,,Easy,"Array, "
448,Find All Numbers Disappeared in an Array,Find All Numbers Disappeared in an Array,find-all-numbers-disappeared-in-an-array,,Easy,"Array, "
449,Serialize and Deserialize BST,Serialize and Deserialize BST,serialize-and-deserialize-bst,,Easy,"Tree, "
450,Delete Node in a BST,Delete Node in a BST,delete-node-in-a-bst,,Easy,"Tree, "
451,Sort Characters By Frequency,Sort Characters By Frequency,sort-characters-by-frequency,,Easy,"Hash Table, Heap, "
452,Minimum Number of Arrows to Burst Balloons,Minimum Number of Arrows to Burst Balloons,minimum-number-of-arrows-to-burst-balloons,,Easy,"Greedy, "
454,4Sum II,4Sum II,4sum-ii,,Easy,"Hash Table, Binary Search, "
456,132 Pattern,132 Pattern,132-pattern,,Easy,"Stack, "
461,Hamming Distance,Hamming Distance,hamming-distance,,Easy,"Bit Manipulation, "
463,Island Perimeter,Island Perimeter,island-perimeter,,Easy,"Hash Table, "
471,Encode String with Shortest Length,Encode String with Shortest Length,encode-string-with-shortest-length,,Easy,"Dynamic Programming, "
477,Total Hamming Distance,Total Hamming Distance,total-hamming-distance,,Easy,"Bit Manipulation, "
486,Predict the Winner,Predict the Winner,predict-the-winner,,Easy,"Dynamic Programming, Minimax, "
487,Max Consecutive Ones II,Max Consecutive Ones II,max-consecutive-ones-ii,,Easy,"Two Pointers, "
489,Robot Room Cleaner,Robot Room Cleaner,robot-room-cleaner,,Easy,"Depth-first Search, "
